,title,company,salary,location
0,Python Developer,Buzzing Soft,"₹4,50,000 - ₹8,00,000 a year","Remote in Surat, Gujarat"
1,Python Developer,Softices Consultancy Pvt Ltd,"₹12,000 - ₹50,000 a month","Remote in Surat, Gujarat"
2,Python/Django Developer,Idea2code Infotech,"₹15,000 - ₹40,000 a month","Surat, Gujarat"
3,Python Developer,Teamunibrains,"₹35,000 a month","Surat, Gujarat"
4,Python/Django Developer,Drjoy.in consultant pvt. ltd.,"₹1,20,000 - ₹3,60,000 a year","Surat, Gujarat"
5,Python Developer,Opash Software,"₹1,40,439 - ₹5,62,217 a year","Surat, Gujarat"
6,Python Developer,Tekpillar,"₹15,000 - ₹40,000 a month","Surat, Gujarat"
7,Python Developer,Keypress IT Services,"₹11,579 - ₹39,344 a month","Surat, Gujarat"
8,Python/Django Developer,Globalia Soft LLP,"₹15,000 - ₹50,000 a month","Surat, Gujarat"
9,Python Developer,Terabits Technolab,,"Surat, Gujarat"
10,Trainee AIML(Python) Developer,Narola Infotech,,"Surat, Gujarat"
11,Full stack python developer,Broader Ai,"₹1,50,000 - ₹2,50,000 a year","Surat, Gujarat"
12,Python Developer,Key Concepts IT Service,,"Surat, Gujarat"
13,Python Developer (Web Scrapping),TransForm Solutions (P) Limited,"₹30,000 - ₹50,000 a month","Surat, Gujarat"
14,Full Stack Developer,Propelius Technologies,"₹11,217 - ₹42,112 a month","Surat, Gujarat"
15,Python Developer,Buzzing Soft,"₹4,50,000 - ₹8,00,000 a year","Remote in Surat, Gujarat"
16,Python Developer,Softices Consultancy Pvt Ltd,"₹12,000 - ₹50,000 a month","Remote in Surat, Gujarat"
17,Python/Django Developer,Idea2code Infotech,"₹15,000 - ₹40,000 a month","Surat, Gujarat"
18,Python Developer,Teamunibrains,"₹35,000 a month","Surat, Gujarat"
19,Python/Django Developer,Drjoy.in consultant pvt. ltd.,"₹1,20,000 - ₹3,60,000 a year","Surat, Gujarat"
20,Python Developer,Opash Software,"₹1,40,439 - ₹5,62,217 a year","Surat, Gujarat"
21,Python Developer,Tekpillar,"₹15,000 - ₹40,000 a month","Surat, Gujarat"
22,Python Developer,Keypress IT Services,"₹11,579 - ₹39,344 a month","Surat, Gujarat"
23,Python/Django Developer,Globalia Soft LLP,"₹15,000 - ₹50,000 a month","Surat, Gujarat"
24,Python Developer,Terabits Technolab,,"Surat, Gujarat"
25,Trainee AIML(Python) Developer,Narola Infotech,,"Surat, Gujarat"
26,Full stack python developer,Broader Ai,"₹1,50,000 - ₹2,50,000 a year","Surat, Gujarat"
27,Python Developer,Key Concepts IT Service,,"Surat, Gujarat"
28,Python Developer (Web Scrapping),TransForm Solutions (P) Limited,"₹30,000 - ₹50,000 a month","Surat, Gujarat"
29,Full Stack Developer,Propelius Technologies,"₹11,217 - ₹42,112 a month","Surat, Gujarat"
30,Python Developer,Buzzing Soft,"₹4,50,000 - ₹8,00,000 a year","Remote in Surat, Gujarat"
31,Python Developer,Softices Consultancy Pvt Ltd,"₹12,000 - ₹50,000 a month","Remote in Surat, Gujarat"
32,Python/Django Developer,Idea2code Infotech,"₹15,000 - ₹40,000 a month","Surat, Gujarat"
33,Python Developer,Teamunibrains,"₹35,000 a month","Surat, Gujarat"
34,Python/Django Developer,Drjoy.in consultant pvt. ltd.,"₹1,20,000 - ₹3,60,000 a year","Surat, Gujarat"
35,Python Developer,Opash Software,"₹1,40,439 - ₹5,62,217 a year","Surat, Gujarat"
36,Python Developer,Tekpillar,"₹15,000 - ₹40,000 a month","Surat, Gujarat"
37,Python Developer,Keypress IT Services,"₹11,579 - ₹39,344 a month","Surat, Gujarat"
38,Python/Django Developer,Globalia Soft LLP,"₹15,000 - ₹50,000 a month","Surat, Gujarat"
39,Python Developer,Terabits Technolab,,"Surat, Gujarat"
40,Trainee AIML(Python) Developer,Narola Infotech,,"Surat, Gujarat"
41,Full stack python developer,Broader Ai,"₹1,50,000 - ₹2,50,000 a year","Surat, Gujarat"
42,Python Developer,Key Concepts IT Service,,"Surat, Gujarat"
43,Python Developer (Web Scrapping),TransForm Solutions (P) Limited,"₹30,000 - ₹50,000 a month","Surat, Gujarat"
44,Full Stack Developer,Propelius Technologies,"₹11,217 - ₹42,112 a month","Surat, Gujarat"
45,Python Developer,Buzzing Soft,"₹4,50,000 - ₹8,00,000 a year","Remote in Surat, Gujarat"
46,Python Developer,Softices Consultancy Pvt Ltd,"₹12,000 - ₹50,000 a month","Remote in Surat, Gujarat"
47,Python/Django Developer,Idea2code Infotech,"₹15,000 - ₹40,000 a month","Surat, Gujarat"
48,Python Developer,Teamunibrains,"₹35,000 a month","Surat, Gujarat"
49,Python/Django Developer,Drjoy.in consultant pvt. ltd.,"₹1,20,000 - ₹3,60,000 a year","Surat, Gujarat"
50,Python Developer,Opash Software,"₹1,40,439 - ₹5,62,217 a year","Surat, Gujarat"
51,Python Developer,Tekpillar,"₹15,000 - ₹40,000 a month","Surat, Gujarat"
52,Python Developer,Keypress IT Services,"₹11,579 - ₹39,344 a month","Surat, Gujarat"
53,Python/Django Developer,Globalia Soft LLP,"₹15,000 - ₹50,000 a month","Surat, Gujarat"
54,Python Developer,Terabits Technolab,,"Surat, Gujarat"
55,Trainee AIML(Python) Developer,Narola Infotech,,"Surat, Gujarat"
56,Full stack python developer,Broader Ai,"₹1,50,000 - ₹2,50,000 a year","Surat, Gujarat"
57,Python Developer,Key Concepts IT Service,,"Surat, Gujarat"
58,Python Developer (Web Scrapping),TransForm Solutions (P) Limited,"₹30,000 - ₹50,000 a month","Surat, Gujarat"
59,Full Stack Developer,Propelius Technologies,"₹11,217 - ₹42,112 a month","Surat, Gujarat"
